MoveOnJoy,#genre#
ABC (WOLO),http://fl1.moveonjoy.com/ABC_EAST/index.m3u8
ACC Network,http://fl2.moveonjoy.com/ACC_NETWORK/index.m3u8
AMC,http://fl5.moveonjoy.com/AMC_NETWORK/index.m3u8
American Heroes Channel,http://fl3.moveonjoy.com/American_Heroes_Channel/index.m3u8
Animal Planet,http://fl2.moveonjoy.com/Animal_Planet/index.m3u8
BBC America,http://fl2.moveonjoy.com/BBC_AMERICA/index.m3u8
BBC World News,http://fl2.moveonjoy.com/BBC_WORLD_NEWS/index.m3u8
beIN Sports,http://fl2.moveonjoy.com/BEIN_SPORTS/index.m3u8
BET,http://fl2.moveonjoy.com/BET_EAST/index.m3u8
BET Gospel,http://fl2.moveonjoy.com/BET_GOSPEL/index.m3u8
BET Her East,http://fl2.moveonjoy.com/BET_HER/index.m3u8
BET Jams,http://fl3.moveonjoy.com/BET_Jams/index.m3u8
BET Soul,http://fl2.moveonjoy.com/BET_SOUL/index.m3u8
Big Ten Network,http://fl3.moveonjoy.com/BIG_TEN_NETWORK/index.m3u8
Bloomberg,http://fl2.moveonjoy.com/BLOOMBERG/index.m3u8
Boomerang,http://fl3.moveonjoy.com/BOOMERANG/index.m3u8
Bounce,http://fl3.moveonjoy.com/BOUNCE_TV/index.m3u8
Bravo,http://fl2.moveonjoy.com/BRAVO/index.m3u8
Cartoon Network,http://fl2.moveonjoy.com/CARTOON_NETWORK/index.m3u8
CBS (WBZ),http://fl2.moveonjoy.com/CBSEAST/index.m3u8
CBS Sports Network,http://fl2.moveonjoy.com/CBS_SPORTS_NETWORK/index.m3u8
Cinemax,http://fl2.moveonjoy.com/CINEMAX_EAST/index.m3u8
CMT East,http://fl3.moveonjoy.com/CMT/index.m3u8
CNBC,http://fl3.moveonjoy.com/CNBC/index.m3u8
CNN,http://fl2.moveonjoy.com/CNN/index.m3u8
Comedy Central,http://fl3.moveonjoy.com/Comedy_Central/index.m3u8
Cooking Channel,http://fl3.moveonjoy.com/COOKING_CHANNEL/index.m3u8
C-SPAN,http://fl2.moveonjoy.com/C-SPAN/index.m3u8
Discovery Channel,http://fl3.moveonjoy.com/Discovery_Channel/index.m3u8
Discovery Family,http://fl2.moveonjoy.com/DISCOVERY_FAMILY_CHANNEL/index.m3u8
Discovery Life,http://fl2.moveonjoy.com/DISCOVERY_LIFE/index.m3u8
Disney Channel,http://fl2.moveonjoy.com/DISNEY_CHANNEL/index.m3u8
