NeiMengGu,#genre#
﻿CCTV1,http://1.24.190.98:10089/hls/1/index.m3u8
CCTV2,http://1.24.190.98:10089/hls/2/index.m3u8
CCTV3,http://1.24.190.98:10089/hls/3/index.m3u8
CCTV4,http://1.24.190.98:10089/hls/4/index.m3u8
CCTV5,http://1.24.190.98:10089/hls/5/index.m3u8
CCTV6,http://1.24.190.98:10089/hls/6/index.m3u8
CCTV7,http://1.24.190.98:10089/hls/7/index.m3u8
CCTV8,http://1.24.190.98:10089/hls/8/index.m3u8
CCTV9,http://1.24.190.98:10089/hls/9/index.m3u8
CCTV10,http://1.24.190.98:10089/hls/10/index.m3u8
CCTV11,http://1.24.190.98:10089/hls/11/index.m3u8
CCTV12,http://1.24.190.98:10089/hls/12/index.m3u8
CCTV13,http://1.24.190.98:10089/hls/13/index.m3u8
CCTV14,http://1.24.190.98:10089/hls/14/index.m3u8
CCTV15,http://1.24.190.98:10089/hls/15/index.m3u8
CCTV5+,http://1.24.190.98:10089/hls/16/index.m3u8
CETV1,http://1.24.190.98:10089/hls/17/index.m3u8
CETV2,http://1.24.190.98:10089/hls/18/index.m3u8
CETV4,http://1.24.190.98:10089/hls/19/index.m3u8
CETV4,http://1.24.190.98:10089/hls/20/index.m3u8
English,http://1.24.190.98:10089/hls/20/index.m3u8
English,http://1.24.190.98:10089/hls/21/index.m3u8
DOCUMENTARY,http://1.24.190.98:10089/hls/21/index.m3u8
DOCUMENTARY,http://1.24.190.98:10089/hls/22/index.m3u8
PYCCKИЙ,http://1.24.190.98:10089/hls/22/index.m3u8
PYCCKИЙ,http://1.24.190.98:10089/hls/23/index.m3u8
Français,http://1.24.190.98:10089/hls/23/index.m3u8
Français,http://1.24.190.98:10089/hls/24/index.m3u8
Español,http://1.24.190.98:10089/hls/24/index.m3u8
Español,http://1.24.190.98:10089/hls/25/index.m3u8
بالعربية ,http://1.24.190.98:10089/hls/25/index.m3u8
