feicuitai,#genre#
凤凰中文,http://pi.0472.org/tv/cbn.php?id=xfjcHD
澳亚卫视,https://pi.0472.org/tv/aoya.php?auth=2309081833
澳视澳门,https://pi.0472.org/tv/asam.php?auth=2309081833
梨园频道,https://pi.0472.org/tv/hn.php?id=154
澳视澳门,https://pi.0472.org/tv/asam.php?auth=230918
澳亚卫视,https://pi.0472.org/tv/aoya.php?auth=230918
明珠台,https://pi.0472.org/tv/mzt.php?auth=230918
翡翠台,https://pi.0472.org/tv/fct.php?auth=230918
明珠台,https://pi.0472.org/tv/mzt.php?auth=2309081833
翡翠台,https://pi.0472.org/tv/fct.php?auth=2309081833
CHC高清电影,http://pi.0472.org/tv/cbn.php?id=chcgqdyHD
CHC家庭影院,http://pi.0472.org/tv/cbn.php?id=chcjtyyHD
CHC动作电影,http://pi.0472.org/tv/cbn.php?id=chcdzdyHD
