hongkong,#genre#
Al Jazeera Balkans (1080p),https://live-hls-web-ajb.getaj.net/AJB/index.m3u8
香港开电视 / HKSTV-HKS,https://live-hls-web-ajb.getaj.net/AJB/01.m3u8
半岛电视台,https://live-hls-web-ajb.getaj.net/AJB/01.m3u8
北京卫视 (1080p),https://live-hls-web-ajb.getaj.net/AJB/01.m3u8
云南 Ⅰ 红河综合台 (1080p),https://live-hls-web-ajb.getaj.net/AJB/01.m3u8
罗山电视台 (1080p) [Not 24/7],https://live-hls-web-ajb.getaj.net/AJB/01.m3u8
香港开电视,https://live-hls-web-ajb.getaj.net/AJB/01.m3u8
福州电视台少儿频道 (FZTV-少儿) (1080p),https://live-hls-web-ajb.getaj.net/AJB/01.m3u8香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
外网香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq.flv
香港卫视HD,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港卫视高清,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=e5b4ef626c5980be2fbdf2e7-158332927312639
HKS,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
