1265k  114.243.99.81:4022
1200k  114.254.80.240:2222
1172k  114.254.80.240:2222
1164k  114.243.106.85:8888
1159k  123.115.63.147:5555
1125k  114.254.84.181:2222
1115k  114.252.227.154:8000
1102k  114.249.110.69:4022
1101k  114.249.110.69:4022
1100k  114.243.106.85:8888
1095k  114.252.229.100:8000
1086k  114.243.108.45:8888
1081k  114.243.106.85:8888
1077k  114.249.110.69:4022
1069k  114.254.80.240:2222
1069k  114.252.229.100:8000
1069k  114.243.108.45:8888
1052k  123.115.63.147:5555
1017k  114.252.227.154:8000
981k  222.129.33.14:8888
967k  123.123.167.240:8000
951k  123.113.186.207:8000
938k  123.113.186.207:8000
934k  114.252.229.100:8000
903k  123.115.63.147:5555
893k  123.113.186.207:8000
847k  114.246.183.53:8888
841k  114.246.183.53:8888
799k  222.129.33.14:8888
781k  123.120.215.122:8888
749k  123.120.215.122:8888
746k  123.120.215.122:8888
570k  222.129.33.14:8888
391k  114.254.93.135:2222
162k  123.113.237.160:8888
141k  123.113.237.160:8888
125k  123.113.237.160:8888
124k  222.129.33.14:8888
