台湾,#genre#
ELTV生活英語台,http://37.27.111.214:8080/live/56/hls.m3u8
elta生活旅游,http://37.27.111.214:8080/live/85/hls.m3u8
CRIME INVESTI GATION,http://37.27.111.214:8080/live/29/hls.m3u8
民視台灣台,http://37.27.111.214:8080/live/5/hls.m3u8
龍華電影台,http://37.27.111.214:8080/live/19/hls.m3u8
CMUSIC音樂台,http://37.27.111.214:8080/live/72/hls.m3u8
TVBS歡樂台,http://37.27.111.214:8080/live/24/hls.m3u8
博斯網球,http://37.27.111.214:8080/live/16/hls.m3u8
東森新聞,http://37.27.111.214:8080/live/20/hls.m3u8
民视第一,http://37.27.111.214:8080/live/4/hls.m3u8
亚洲旅游,http://37.27.111.214:8080/live/10/hls.m3u8
东森新闻,http://37.27.111.214:8080/live/20/hls.m3u8
寰宇台湾,http://37.27.111.214:8080/live/63/hls.m3u8
三立综合,http://37.27.111.214:8080/live/31/hls.m3u8
龙华戏剧,http://37.27.111.214:8080/live/41/hls.m3u8
龙华电影,http://37.27.111.214:8080/live/19/hls.m3u8
中视经典,http://37.27.111.214:8080/live/47/hls.m3u8
華視新聞,http://37.27.111.214:8080/live/8/hls.m3u8
中视青采,http://37.27.111.214:8080/live/48/hls.m3u8
公视戏剧,http://37.27.111.214:8080/live/87/hls.m3u8
民视台湾,http://37.27.111.214:8080/live/5/hls.m3u8
全球财经,http://37.27.111.214:8080/live/64/hls.m3u8
人间卫视,http://37.27.111.214:8080/live/101/hls.m3u8
Nickelodeon,http://37.27.111.214:8080/live/12/hls.m3u8
CinemaWorld,http://37.27.111.214:8080/live/30/hls.m3u8
ROCK ACTION,http://37.27.111.214:8080/live/94/hls.m3u8
电视剧3,http://37.27.111.214:8080/live/111/hls.m3u8
镜新闻,http://37.27.111.214:8080/live/62/hls.m3u8
豬哥亮,http://37.27.111.214:8080/live/35/hls.m3u8
BLOOMBERG,http://37.27.111.214:8080/live/34/hls.m3u8
